price,bedrooms,condition,grade,has_basement,living_in_m2,was_renovated,perfect_condition,real_bathroom,has_lavatory,single_floor,month,quartile_zone_x,quartile_zone_y
702500.0,3,5,2,True,219.25108,False,True,1,True,False,5,3,3
300000.0,3,3,2,True,185.806,False,False,2,True,True,12,1,1
750000.0,4,3,3,False,272.20579,False,False,2,True,False,4,3,3
1115000.0,4,4,10,True,342.81207,False,False,2,True,True,4,4,4
385000.0,3,3,1,False,75.25143,False,False,1,False,True,5,3,3
510000.0,2,3,1,False,99.40621,False,False,1,False,True,3,3,3
235000.0,3,3,2,True,207.17369,False,False,1,False,True,8,2,2
485000.0,3,4,2,True,246.19295,False,False,2,True,True,1,2,2
450000.0,3,3,2,False,102.1933,False,False,1,False,True,5,3,3
420000.0,3,3,2,True,222.03817,False,False,1,True,True,10,2,2
410000.0,1,3,2,False,93.83203,True,False,1,True,True,6,3,3
260000.0,3,4,2,False,111.4836,False,False,1,False,True,5,1,1
615000.0,3,4,3,True,218.32205,False,False,1,True,True,6,4,4
680000.0,4,3,10,False,336.30886,False,False,2,True,False,4,2,2
750000.0,5,3,2,True,255.48325,True,False,3,True,False,6,4,4
335000.0,4,3,3,False,200.11306199999999,False,False,2,True,False,10,1,1
464050.0,2,4,2,False,72.46433999999999,False,False,1,False,True,10,3,3
500000.0,4,3,3,False,279.63803,False,False,2,True,False,11,2,2
232000.0,3,5,2,False,120.7739,False,True,1,True,True,1,1,1
624000.0,3,4,2,True,233.18653,False,False,2,True,True,9,3,3
374000.0,3,4,2,False,111.4836,False,False,1,False,True,5,3,3
325000.0,6,4,2,False,246.19295,False,False,3,False,True,12,1,1
489000.0,4,4,2,True,196.95436,False,False,2,False,True,6,2,2
455000.0,2,3,2,True,101.26427,False,False,1,True,True,4,3,3
536000.0,3,3,4,False,184.87697,False,False,2,True,False,3,3,3
548000.0,3,3,3,False,196.02533,False,False,2,True,False,6,3,3
190500.0,3,3,3,True,103.12233,False,False,1,True,False,3,3,3
497000.0,3,3,3,False,244.33489,False,False,2,True,False,3,3,3
526000.0,2,4,2,False,143.99965,False,False,2,False,False,5,3,3
799000.0,4,3,4,True,325.1605,False,False,3,True,False,6,4,4
405100.0,2,3,1,False,78.03852,False,False,1,False,True,5,4,4
378500.0,4,3,2,True,157.9351,False,False,1,True,True,11,4,4
261000.0,3,3,2,True,165.36734,False,False,1,False,True,10,1,1
315000.0,3,5,2,True,175.58667,False,True,1,True,True,2,2,2
320000.0,3,3,3,True,137.49644,False,False,3,True,False,12,1,1
450000.0,3,3,10,False,227.61235,False,False,2,True,False,8,2,2
875000.0,4,3,10,False,352.10237,False,False,2,True,False,6,4,4
208000.0,3,5,1,False,91.97397,False,True,1,False,True,4,1,1
359950.0,4,3,3,False,236.159426,False,False,2,True,False,10,1,1
394950.0,3,3,3,False,190.45115,False,False,2,True,False,4,1,1
850000.0,3,3,4,False,177.44473,True,False,3,False,False,10,3,3
580000.0,3,3,3,False,161.65122,False,False,2,True,False,8,3,3
516500.0,3,3,2,False,137.49644,False,False,2,True,False,3,4,4
340000.0,4,5,2,True,167.2254,False,True,1,True,True,7,2,2
585000.0,3,3,4,False,212.74787,False,False,2,True,False,12,4,4
760000.0,4,5,2,True,256.41228,False,True,2,True,False,6,3,3
234000.0,4,3,2,True,158.86413,False,False,2,False,True,10,1,1
535000.0,2,4,1,True,237.83168,False,False,3,True,True,7,3,3
359950.0,3,3,3,False,205.31563,False,False,2,True,False,11,2,2
875000.0,5,3,4,False,274.99288,False,False,3,False,False,7,4,4
685000.0,4,3,1,True,143.99965,False,False,1,False,False,10,2,2
800000.0,4,3,3,False,279.63803,False,False,2,True,False,4,4,4
375000.0,4,3,4,False,259.19937,False,False,2,True,False,5,1,1
289950.0,3,3,2,True,161.65122,False,False,2,True,True,9,1,1
327000.0,2,3,2,False,99.40621,False,False,1,False,True,8,2,2
272950.0,3,4,2,True,145.85771,False,False,2,True,True,3,1,1
472000.0,3,3,4,False,257.34131,False,False,2,False,False,12,2,2
425000.0,3,4,2,False,124.49002,False,False,2,True,True,8,4,4
492000.0,2,3,2,False,81.75464,False,False,1,False,True,3,3,3
360000.0,4,4,2,True,153.28995,False,False,2,False,True,4,2,2
395000.0,3,4,2,False,100.33524,False,False,1,True,False,5,3,3
329922.0,3,3,2,True,131.92226,False,False,1,True,True,10,2,2
345000.0,4,3,2,True,211.81884,False,False,2,True,True,2,1,1
659000.0,4,5,3,True,296.36057,False,True,2,True,True,5,2,2
739000.0,3,3,4,False,274.06385,False,False,2,True,False,1,3,3
286651.0,3,3,2,False,170.01248999999999,False,False,2,True,False,4,1,1
928990.0,4,3,4,False,331.66371,False,False,2,True,False,9,4,4
445000.0,3,3,3,False,183.01891,False,False,3,False,True,5,2,2
422500.0,2,3,2,False,74.3224,False,False,1,False,True,3,3,3
284000.0,3,3,2,True,142.14159,False,False,1,True,True,3,1,1
230000.0,3,3,2,False,110.55457,False,False,1,False,True,9,1,1
725000.0,3,3,4,False,331.66371,False,False,2,True,False,9,3,3
265000.0,2,3,2,False,148.6448,False,False,1,False,True,7,2,2
855000.0,4,4,4,False,230.39944,False,False,2,True,False,1,4,4
585000.0,4,3,2,True,278.709,False,False,1,True,True,5,2,2
850000.0,3,3,4,True,289.85735999999997,False,False,2,True,False,2,4,4
550000.0,4,3,4,False,229.47041,False,False,2,True,False,9,2,2
459950.0,4,3,3,False,185.806,False,False,2,True,False,6,3,3
895900.0,4,3,4,True,338.16692,False,False,3,True,False,2,4,4
296500.0,3,4,2,False,146.78674,False,False,1,True,True,12,1,1
540000.0,4,3,3,False,171.87055,False,False,2,True,False,8,4,4
522000.0,3,3,2,False,114.27069,False,False,1,False,False,4,3,3
490000.0,3,3,3,True,91.97397,False,False,1,True,False,9,4,4
225000.0,3,3,1,False,166.29637,True,False,1,False,True,9,1,1
477000.0,3,3,2,True,165.36734,False,False,1,True,True,6,3,3
390000.0,3,3,3,False,219.25108,False,False,2,False,False,8,2,2
329950.0,3,3,3,True,120.7739,False,False,2,True,False,11,3,3
550000.0,3,4,2,True,126.34808,False,False,1,True,True,4,3,3
229950.0,3,4,2,False,108.69651,False,False,1,True,True,4,1,1
292500.0,4,3,2,True,198.81242,False,False,1,True,True,9,1,1
355500.0,3,3,3,False,241.5478,False,False,2,True,False,6,2,2
278000.0,4,3,2,False,212.74787,False,False,2,True,False,10,1,1
902000.0,4,3,4,False,281.49609,False,False,2,True,False,6,4,4
329900.0,4,3,2,False,229.934925,False,False,2,True,False,9,1,1
400000.0,4,4,2,False,199.74145,False,False,1,True,True,9,2,2
745000.0,2,3,3,False,201.59951,False,False,2,True,True,4,4,4
261490.0,4,4,1,True,152.36092,False,False,1,False,True,9,2,2
649950.0,3,3,3,True,307.50893,True,False,2,True,True,4,2,2
605000.0,4,5,2,True,273.13482,False,True,2,True,True,7,2,2
845000.0,4,3,4,True,222.03817,False,False,2,True,False,4,3,3
938000.0,4,5,3,True,223.89623,False,True,2,True,True,4,4,4
800000.0,4,3,4,False,287.9993,False,False,2,True,False,3,3,3
350000.0,2,3,2,True,132.85129,False,False,1,False,False,8,3,3
619000.0,3,3,4,False,252.69616,False,False,2,True,False,5,3,3
432500.0,3,5,2,False,159.79316,False,True,2,False,False,1,2,2
550000.0,3,3,2,True,176.5157,False,False,1,True,False,6,3,3
965000.0,4,4,10,False,364.17976,False,False,2,True,False,4,3,3
475000.0,3,3,3,False,178.37376,False,False,2,True,False,2,3,3
657000.0,2,3,3,False,145.85771,False,False,3,False,False,1,3,3
243000.0,2,3,2,False,99.220404,False,False,1,True,False,6,2,2
308900.0,3,3,3,False,209.03175,False,False,2,True,False,6,1,1
415000.0,3,3,2,True,134.244835,False,False,2,True,False,2,3,3
795000.0,3,5,4,True,224.82526,False,True,2,False,True,6,3,3
240000.0,3,3,1,True,165.36734,False,False,1,True,False,4,1,1
290700.0,3,4,2,False,155.14801,False,False,2,True,False,8,2,2
515000.0,4,3,3,False,260.1284,False,False,2,True,False,12,2,2
875000.0,4,4,3,False,167.2254,False,False,1,True,False,6,3,3
299000.0,3,3,3,False,125.41905,False,False,2,True,False,2,1,1
383000.0,3,4,2,True,167.2254,False,False,1,False,True,5,2,2
419950.0,3,3,4,False,289.85735999999997,False,False,2,True,False,3,2,2
423000.0,4,3,3,False,247.12198,False,False,2,True,False,9,2,2
391500.0,3,3,3,False,178.37376,False,False,2,True,False,7,2,2
357000.0,3,3,2,False,116.12875,False,False,1,True,True,10,2,2
279000.0,3,2,2,True,139.3545,False,False,2,True,True,2,1,1
486000.0,4,3,10,False,330.73468,False,False,2,True,False,7,1,1
320000.0,3,3,2,True,182.08988,False,False,1,True,True,4,2,2
397000.0,4,3,2,True,187.66406,False,False,1,True,True,9,3,3
